Record Number;Title;Priority Country Code;Current Assignee;Assignee;Assignee Original;Current Owner;Publication/Issue Date;Filing/Application Date;CPC;IPC All Versions (IC);Simple Family Members;SFAM All countries;Publication Country;360° Quality;Priority Date;Priority Year;Attorney;Attorney Address;Assignee Country;Inventor Country;No. of Assignees;No. of Inventors;Legal Status (Dead/Alive);Legal Quality;Is Litigated;Is Opposed;Litigation Details;Citation Quality;Intrensic Quality;Market Quality;Record Type;Simple Family ID
WO2021249674A1;BIOFEEDBACK SYSTEM;GB;NORWEGIAN UNIV SCI & TECH NTNU  ( NO );NORWEGIAN UNIV SCI & TECH NTNU (NO);NORWEGIAN UNIV SCI & TECH NTNU (NO);NORWEGIAN UNIV SCI & TECH NTNU;16-Dec-2021;03.feb.21;"A61B5/4824; A61B5/4836; A61B5/486; A61B5/4094";A61B5/00;"US2023172540A1
 EP4161354A1
 WO2021249674A1
 GB202008682D0";GB, EP, US, WO;WO;des.35;09.jun.20;2020;TAYLOR ADAM (GB);ST BRIDE'S HOUSE 10 SALISBURY SQUARE LONDON GREATER LONDON EC4Y 8JD;NO;"NO-5; SE-1";1;6;DEAD;12;No;No;None;01.des;21.mai;24.mai;Application;71616143
WO2021239791A1;APPARATUS FOR, AND METHOD OF, CONTROLLING SAND PRODUCTION FROM AN OIL WELL;GB;FOURPHASE AS  ( NO );FOURPHASE AS (NO);FOURPHASE AS (NO);FOURPHASE AS;2-Dec-2021;26-May-2021;"E21B43/12; E21B43/35";E21B43/12;"US11808118B2 / US2023175362A1
 EP3983644A1 / EP3983644B1
 MX2022011718A
 WO2021239791A1
 AU2021281402A1
 CA3168713A1
 DK3983644T3
 GB2595491A / GB2595491B / GB202007998D0
 BR112022019072A2";EP, CA, BR, DK, US, GB, MX, WO, AU;WO;20.feb;28-May-2020;2020;JENKINS PETER DAVID ET AL (GB);PAGE WHITE & FARRER BEDFORD HOUSE JOHN STREET LONDON GREATER LONDON WC1N 2BF;NO;NO-1;1;1;DEAD;30;No;No;None;0.5;13.23;42.25;Application;71526342
WO2021228889A1;DELAY CELL CIRCUITS;GB;NORDIC SEMICONDUCTOR ASA  ( NO );NORDIC SEMICONDUCTOR ASA (NO);NORDIC SEMICONDUCTOR ASA (NO);NORDIC SEMICONDUCTOR ASA;18.nov.21;11-May-2021;"H03K3/0322; H03K5/134; H03K2005/00032; H03K2005/00215";"H03K3/03; H03K5/00; H03K5/134";"US12119824B2 / US2023179184A1
 WO2021228889A1
 GB202006884D0";GB, US, WO;WO;aug.83;11-May-2020;2020;DEHNS (GB);ST BRIDE'S HOUSE 10 SALISBURY SQUARE LONDON EC4Y 8JD;NO;NO-1;1;1;DEAD;nov.62;No;No;None;0.13;15.79;16.25;Application;71135042
WO2021148654A1;SURGICAL CUTTING TOOL;GB;ST OLAVS HOSPITAL TRONDHEIM UNIV HOSPITAL  ( NO );ST OLAVS HOSPITAL TRONDHEIM UNIV HOSPITAL (NO);ST OLAVS HOSPITAL TRONDHEIM UNIV HOSPITAL (NO);ST OLAVS HOSPITAL TRONDHEIM UNIV HOSPITAL;29.jul.21;22.jan.21;"A61B2017/320082; A61B2018/141; A61B2017/320078; A61B17/320068; A61B17/32053";"A61B17/32; A61B17/3205; A61B18/14";"WO2021148654A1
 GB202000938D0";GB, WO;WO;07.apr;22.jan.20;2020;TAYLOR ADAM (GB);ST BRIDE'S HOUSE 10 SALISBURY SQUARE LONDON GREATER LONDON EC4Y 8JD;NO;NO-2;1;2;DEAD;sep.38;No;No;None;0.75;15.46;des.25;Application;69636943
WO2020099924A1;INTELLIGENT, DECENTRALIZED AND AUTONOMOUS MARKETPLACE FOR DISTRIBUTED COMPUTING AND STORAGE;US;IAGON AS  ( NO );IAGON AS (NO);IAGON AS (NO);IAGON AS;22-May-2020;07.nov.19;"G06F2209/505; H04L67/1046; H04L67/104; H04L67/10; H04L67/1074; G06F9/5061; H04L43/0876; H04L41/12";H04L29/08;"US11799954B2 / US2022006860A1
 EP3878161A1 / EP3878161B1
 WO2020099924A1
 JP7393426B2 / JP2022511686A
 AU2019380719A1
 CA3118374A1
 CN112997469A / CN112997469B
 ES2954424T3
 IL282920A / IL282920B1 / IL282920B2
 KR20210096619A
 HK40047099A
 SA521421975B1";JP, HK, US, EP, IL, SA, CN, ES, WO, KR, CA, AU;WO;27.75;08.nov.18;2018;TER MEER STEINMEISTER & PARTNER PATENTANWALTE MBB (DE);NYMPHENBURGER STRAßE 4 80335 MÜNCHEN;NO;NO-4;1;4;DEAD;39;No;No;None;jul.82;24.mai;48.05;Application;69582142
WO2021045631A1;RE-INJECTION OF A PRODUCED HYDROCARBON GAS INTO A HYDROCARBON RESERVOIR WITHOUT GAS DRYING;GB;EQUINOR ENERGY AS  ( NO );EQUINOR ENERGY AS (NO);EQUINOR ENERGY AS (NO);EQUINOR ASA;11.mar.21;07.sep.20;"E21B43/16; B01D19/00; B01D53/00; B01D2257/80; B01D2257/702; B01D2256/24; B01D53/002; B01D19/0063; B01D19/0036; E21B43/168; E21B43/40; E21B43/36";"E21B43/01; E21B43/16; E21B43/36; E21B43/40";"WO2021045631A1
 GB2592454A / GB2592454B / GB202014025D0
 GB201912808D0";GB, WO;WO;aug.46;05.sep.19;2019;JACKSON ROBERT (GB);ST BRIDE'S HOUSE 10 SALISBURY SQUARE LONDON GREATER LONDON EC4Y 8JD;NO;NO-3;1;3;DEAD;15.mai;No;No;None;0.75;24.17;08.aug;Application;68241143
WO2020055269A1;FISH PUMP AND A METHOD FOR TRANSPORT OF FISH;NO;BREIVIK ROY ARNE  ( NO ),ERIKSEN BEN TOMMY  ( NO );"BREIVIK ROY ARNE (NO); ERIKSEN BEN TOMMY (NO)";"BREIVIK ROY ARNE (NO); ERIKSEN BEN TOMMY (NO)";BREIVIK ROY ARNE, ERIKSEN BEN TOMMY;19.mar.20;13.sep.19;"A01K79/00; F04D7/04; F04D29/708; F04D13/02; F04D5/002; F04D5/001; F04D1/14";"A01K79/00; F04D1/04; F04D7/04; F04D13/02; F04D29/70";"WO2020055269A1
 CA3110338A1
 CN113038832A
 DK181515B1 / DK202170115A1
 GB2590830A / GB2590830B / GB202101964D0
 CL2021000570A1
 NO344176B1";CN, CL, GB, DK, WO, NO, CA;WO;20.sep;13.sep.18;2018;ACAPO AS (NO);PO BOX 1880 NORDNES 5817 BERGEN;NO;NO-2;2;2;DEAD;39;No;No;None;jan.63;19.36;32.35;Application;68232943
WO2020017979A1;MICROWAVE ASSISTED PYROLYSIS AND GASIFICATION;NO;PROTOTECH AS  ( NO );PROTOTECH AS (NO);PROTOTECH AS (NO);PROTOTECH AS;23.jan.20;19.jul.19;"C02F11/10; C10J2300/123; C10J3/18; C10J2300/0923; C10J2300/1646; Y02E60/50; F23G5/027; C02F2103/20; C10J3/06; H01M8/0618; F23G2209/12; F23G2201/30; C02F9/00; C02F11/04; C02F11/13; F23G2200/00; H01M2008/1293; C02F11/12; C02F11/18; A01K61/00; Y02W10/40; C10J3/00; C02F11/00";"C02F11/10; C02F11/12; C10J3/18";"US11939249B2 / US2021261453A1
 EP3823934A1 / EP3823934B1 / EP3823934C0
 WO2020017979A1
 CA3106443A1
 CN112469671A
 ES2955658T3
 KR20210032989A
 NO346959B1 / NO20181008A1";EP, CN, WO, KR, NO, CA, US, ES;WO;28.18;20.jul.18;2018;ACAPO AS (NO);PO BOX 1880 NORDNES 5817 BERGEN;NO;NO-2;1;2;DEAD;29.25;No;No;None;nov.32;39.74;46.1;Application;67660442
WO2019151872A1;DEVICE FOR LIFTING OBJECTS FROM THE SEA;NO;SEALIFT SYSTEM AS  ( NO );SEALIFT SYSTEM AS (NO);SEALIFT SYSTEMS AS (NO);SEALIFT SYSTEM AS;08.aug.19;30.jan.19;"B63B23/00; B63C9/00; B63B23/02; B66C13/02; B63B23/30; B63B23/32; B63B23/18";"B66C13/02; B63B23/04; B63B23/30";"WO2019151872A1
 NO344557B1 / NO20180159A1";WO, NO;WO;10.apr;31.jan.18;2018;ACAPO AS (NO);PO BOX 1880 NORDNES 5817 BERGEN;NO;NO-5;1;5;DEAD;21.mai;No;No;None;06.mar;22.jan;apr.55;Application;67478843
WO2019221608A1;PETROLEUM PRODUCTION PROCESS SYSTEM AND METHOD OF OPERATION;NO;AKER SOLUTIONS ASA  ( NO );AKER SOLUTIONS ASA (NO);AKER SOLUTIONS AS (NO);AKER SOLUTIONS ASA;21.nov.19;13-May-2019;"F04D25/0686; E21B43/36; F04D27/023; F04D13/08; E21B43/00; E21B43/01; E21B41/0007; F17D3/10";"E21B41/00; E21B43/00; E21B43/01";"US11624480B2 / US2021116075A1
 WO2019221608A1
 AU2019271726A1 / AU2019271726B2
 NO344895B1 / NO20180680A1";AU, WO, NO, US;WO;20.aug;14-May-2018;2018;ZACCO NORWAY AS (NO);POBOX 2003 VIKA 0125 OSLO;NO;NO-2;1;2;DEAD;31.mai;No;No;None;15.apr;20.83;18.45;Application;67145843
WO2020207791A1;MONITORING MODULE;GB;JOTUN AS  ( NO );JOTUN AS (NO);JOTUN AS (NO);JOTUN AS;15-Oct-2020;24.mar.20;"B63B59/10; B25J19/0075; B25J9/1664; B25J11/0085; G05D1/0038; G05D1/0055; G05D1/0278; G05D1/248; G05D1/617; G05D1/224";"B63B59/10; G05D1/02";"US11987330B2 / US2022194532A1
 EP3953780A1 / EP3953780B1
 WO2020207791A1
 JP7506688B2 / JP2022526652A
 CN113661461A
 DK3953780T3
 GB2582954A / GB2582954B / GB201905102D0
 KR20210152511A
 SG11202110976A";GB, WO, CN, SG, KR, EP, JP, DK, US;WO;29.13;10.apr.19;2019;MARKS & CLERK LLP (GB);62 68 HILLS ROAD CAMBRIDGE CB2 1LA;NO;NO-1;1;1;DEAD;33;No;No;None;12.apr;16;53.25;Application;66809542
WO2020185094A1;PREDICTION OF RESERVOIR FLUID PROPERTIES FROM MUD-GAS DATA;GB;EQUINOR ENERGY AS  ( NO );EQUINOR ENERGY AS (NO);EQUINOR ENERGY AS (NO);EQUINOR ASA;17.sep.20;13.mar.20;"G06N20/00; G01N33/241; E21B2200/20; E21B49/005; G01V9/007; E21B2200/22; E21B49/0875; G01V20/00";"E21B49/00; G01V11/00; G01V99/00";"US2022163503A1
 MX2021010963A
 WO2020185094A1
 AU2020237917A1
 CA3132964A1
 GB2582294A / GB2582294B / GB201903444D0
 BR112021017647A2
 NO20211218A1";GB, CA, WO, AU, BR, MX, NO, US;WO;29.99;13.mar.19;2019;LEES GREGORY (GB);DEHNS ST BRIDE'S HOUSE 10 SALISBURY SQUARE LONDON EC4Y 8JD;NO;NO-5;1;5;DEAD;33;No;No;None;21.35;20.jan;42.8;Application;66380543
WO2019088844A1;PIN BOLT PROVIDED WITH EQUIPMENT FOR STRESS REGISTRATION;NO;BONDURA TECH AS  ( NO );BONDURA TECH AS (NO);BONDURA TECH AS (NO);BONDURA TECH AS;9-May-2019;9-Oct-2018;"G01L5/0004; F16C33/1055; G01L1/22; G01L5/24; F16C11/04; F16C11/045; F16C2350/26; F16C11/06; F16C17/24; G01L1/2225; F16C2326/00; F16C35/02; F16C33/6622; F16C23/045; F16C17/246";"G01L5/00; F16C11/04; G01L1/22";"EP3704456A1 / EP3704456A4
 WO2019088844A1
 NO344877B1 / NO20171728A1";WO, NO, EP;WO;13.77;30-Oct-2017;2017;HAMS PATENTBYRA AS (NO);PO BOX 171 4301 SANDNES;NO;NO-1;1;1;DEAD;28;No;No;None;02.mai;21.31;16.aug;Application;66332243
WO2019078727A1;ELECTRO MECHANICAL POWER ACTUATOR;NO;ELECTRICAL SUBSEA & DRILLING AS  ( NO );ELECTRICAL SUBSEA & DRILLING AS (NO);ELECTRICAL SUBSEA & DRILLING AS (NO);ELECTRICAL SUBSEA & DRILLING AS;25.apr.19;17-Oct-2018;"F16H2025/2081; F16H2025/2065; F16K31/50; F16H2025/2053; F16K31/508; E21B33/06; F16K31/047; F16H25/24; F16K31/04; F16K31/046; F16K31/53; E21B33/063; F16H25/2247";"F16H25/24; E21B33/06; F16H25/20; F16K31/04; F16K31/50";"US11454307B2 / US2020340562A1
 WO2019078727A1
 AU2018351421A1 / AU2018351421B2
 GB2581687A / GB2581687B / GB202006292D0
 BR112020007048A2 / BR112020007048B1
 NO344201B1 / NO20171649A1";GB, BR, US, WO, AU, NO;WO;28.14;17-Oct-2017;2017;HAMS PATENTBYRA AS (NO);PO BOX 171 4301 SANDNES;NO;NO-1;1;1;DEAD;38.5;No;No;None;21.88;18.18;32.9;Application;66173743
WO2019197309A1;METHOD AND APPARATUS FOR AUTOMATED STRIPPING OF WASTE FROM A CUT SUBSTRATE;US;ESKO GRAPHICS KONGSBERG AS  ( NO );ESKO GRAPHICS KONGSBERG AS (NO);ESKO GRAPHICS KONGSBERG AS (NO);DANAHER CORP;17-Oct-2019;08.apr.19;"B26F1/38; B26F1/04; B26D5/007; B26D7/1854; B26D5/00; G05B2219/49223; B26D7/1818; B26D2007/0018; B26D5/32; B26D7/18; B26D5/34; B31B50/14; B26F1/44";"B26D5/00; B26D5/32; B26D5/34; B26D7/00; B26D7/18; B26F1/04; B26F1/38; B26F1/40; B26F1/44";"US2021094200A1
 EP3774239A1 / EP3774239B1
 WO2019197309A1";WO, EP, US;WO;20.82;10.apr.18;2018;RATNERPRESTIA (DE);ALTHEIMER ECK 2 80331 MUNICH;NO;NO-8;1;8;DEAD;25;No;No;None;13.sep;29.jan;24.mai;Application;66165943
WO2019111055A1;METHOD FOR PRODUCING A PROTEIN PHOSPHOLIPID COMPLEX FROM A CRUSTACEAN CATCH;US;RIMFROST TECH  ( NO );RIMFROST TECH (NO);RIMFROST TECH (NO);RIMFROST TECH;13.jun.19;30.nov.18;"A23L17/40; A23L33/115; C12Y302/01014; A61K35/612; A23L33/18; C12Y304/24003; A23J3/341; A23J1/04; C11B1/10; A61K35/60; A23J3/04; A23D9/007";"A23L17/40; A23J1/04; A23J3/34";"US10709148B2 / US2019166866A1
 US2020296984A1
 EP3720294A1
 WO2019111055A1
 CN111432654A
 KR20200096593A
 CL2020001449A1";US, EP, CN, CL, KR, WO;WO;29.23;04-Dec-2017;2017;HARRINGTON JAMES F ET AL (US);HOFFMANN & BARON LLP 6900 JERICHO TURNPIKE SYOSSET NY 11791;NO;NO-2;1;2;DEAD;38.5;No;No;None;13.35;28.59;44.45;Application;65718043
WO2019197064A1;CONSTRUCTION MACHINE GUIDANCE SYSTEM;NO;GEONORD AS  ( NO );GEONORD AS (NO);GEONORD AS (NO);GEONORD AS;17-Oct-2019;07.feb.19;"G01S17/86; B60R16/023; E02F9/26; G06T11/00; G06F3/03; E02F9/261; G01S17/88; G01S17/42; G01S17/89; E02F9/0858; E02F3/842";"E02F3/84; E02F9/08; E02F9/26; G01S17/42; G01S17/86; G01S17/88; G01S17/89";"WO2019197064A1
 NO344567B1 / NO20180499A1";NO, WO;WO;nov.61;12.apr.18;2018;ONSAGERS AS (NO);P O BOX 1813 VIKA N 0123 OSLO;NO;NO-1;1;1;DEAD;16;No;No;None;jun.86;18.mar;12.aug;Application;65433642
WO2019009731A1;APPARATUS AND METHOD FOR CUTTING A LINE EXTENDING FROM A FLOATING VESSEL;NO;SMART INSTALLATIONS AS  ( NO );SMART INSTALLATIONS AS (NO);SMART INSTALLATIONS AS (NO);SMART INSTALLATIONS AS;10.jan.19;14.jun.18;"B63B21/56; B63B21/22; B63B21/60; B23D15/04; B63B21/18";B63B21/56;"US10913516B2 / US2020148309A1
 EP3649041A1 / EP3649041A4 / EP3649041B1 / EP3649041C0
 WO2019009731A1
 AU2018297889A1 / AU2018297889B2
 CA3066889A1
 RU2761283C2 / RU2020102683A / RU2020102683A3
 SG11201911852A
 CL2019003856A1
 BR112019027777A2 / BR112019027777B1
 NO345570B1 / NO20171117A1";WO, NO, AU, BR, RU, SG, CA, EP, US, CL;WO;25.55;06.jul.17;2017;HAMS PATENTBYRA AS (NO);PO BOX 171 4301 SANDNES;NO;NO-1;1;1;DEAD;45.5;No;No;None;02.des;21.77;44.75;Application;64950242
WO2019048546A1;TIE-IN SYSTEM AND FLUID TRANSFER SYSTEM COMPRISING SUCH A TIE-IN SYSTEM;NO;CONNECT LNG AS  ( NO );CONNECT LNG AS (NO);CONNECT LNG AS (NO);CONNECT LNG AS;14.mar.19;06.sep.18;"B63B27/34; B67D9/00; F17C2205/0338; B63B27/24; B63B22/021; B63B27/32; F17C9/00; B63B27/25; F17C2205/0323; F17C2270/0118; F17C2223/0161";"B63B27/24; B63B27/34; B67D9/00";"US11279449B2 / US2020189692A1
 US11878774B2 / US2020262522A1
 EP3678929A1
 EP3678930A1 / EP3678930B1 / EP3678930C0
 WO2019048543A1
 WO2019048546A1
 AU2018330635A1 / AU2018330635B2
 AU2018330638A1 / AU2018330638B2
 IN495942A1 / IN202017011586A
 IN539609A1 / IN202017012071A
 CN111051193A / CN111051193B
 CN111051194A
 DOP2020000038A
 NO345782B1 / NO20181164A1
 NO345783B1 / NO20181161A1";WO, IN, NO, DO, AU, EP, US, CN;WO;35.64;06.sep.17;2017;ONSAGERS AS (NO);P O BOX 1813 VIKA N 0123 OSLO;NO;"NO-3; DE-1";1;4;DEAD;45;No;No;None;23.apr;23.42;49.8;Application;63642942
WO2019043041A1;EYEGLASS LENS PIECE CONFIGURED FOR BOTH FORWARD AND REARWARD VIEWING;NO;CFONGEN AS  ( NO );CFONGEN AS (NO);CFONGEN AS (NO);CFONGEN AS;07.mar.19;29.aug.18;"G02C9/00; G02C7/14";"G02C7/14; A42B3/04; G02C9/00";"US11256111B2 / US2020225509A1
 EP3679419A1 / EP3679419B1 / EP3679419C0
 WO2019043041A1
 JP7503183B2 / JP2023133402A
 JP2020531924A
 CN111373309A
 CN117647899A
 ES2949560T3
 NO20171398A1";JP, EP, CN, ES, US, NO, WO;WO;33.28;29.aug.17;2017;ONSAGERS AS (NO);P O BOX 1813 VIKA N 0123 OSLO;NO;NO-1;1;1;DEAD;45;No;No;None;17.jun;22.58;49.95;Application;63452642
WO2019017796A1;LOW EMISSION OIL TANKER FUELED WITH SURPLUS OF VOLATILE ORGANIC COMPOUND (VOC);NO;WAERTSILAE GAS SOLUTIONS NORWAY AS  ( NO );WAERTSILAE GAS SOLUTIONS NORWAY AS (NO);WAERTSILAE GAS SOLUTIONS NORWAY AS (NO);WAERTSILAE GAS SOLUTIONS NORWAY AS;24.jan.19;16.jul.18;"F17C2265/025; F17C2221/035; B01D5/00; F17C2265/032; F17C2265/066; F17C2223/0161; B63J2099/003; F02M21/023; F17C2270/0105; F02M21/0218; F17C2227/0135; F02M21/0209; F17C9/04; B65D90/30; F17C2223/046; F17C2227/0393; F17C2221/032; B63H21/14; F17C2227/0309; B63B25/14; F17C2223/0153; F02B43/00; B01D53/00; F02D19/022; B63J99/00; F17C2223/043; F17C9/02; F02M21/0215; B01D53/96; F17C2223/033; F02D19/02; F17C2225/0123; B63B25/08; F17C2201/054; F17C2221/033; F02M25/089; F17C2225/035; F17C2260/044; Y02T10/30; Y02T70/50";"F02M21/02; B63B25/08; B63H21/38; B63J99/00; B65D90/30; F02B43/00; F02M25/08; F17C13/00";"WO2019017796A1
 NO20171222A1";NO, WO;WO;13.81;21.jul.17;2017;ZACCO NORWAY AS (NO);PO BOX 2003 VIKA 0125 OSLO;NO;NO-2;1;2;DEAD;0;No;No;None;21.aug;38.87;4;Application;63209642
WO2020002700A1;METHOD OF COMMUNICATION BETWEEN A DEVICE AND A NETWORK;GB;NORDIC SEMICONDUCTOR ASA  ( NO );NORDIC SEMICONDUCTOR ASA (NO);NORDIC SEMICONDUCTOR ASA (NO);NORDIC SEMICONDUCTOR ASA;02.jan.20;01.jul.19;"H04W52/0219; H04W52/0229; H04W52/0216; H04L67/141; H04L2101/35; H04L2101/345; H04W80/02; H04W76/10; G16Y10/75; Y02D30/70; H04L63/0236";"H04W28/02; H04L29/06; H04L29/08; H04W52/02";"US11659603B2 / US2021251022A1
 EP3815420A1
 WO2020002700A1
 CN112640520A
 GB201810768D0";US, GB, WO, CN, EP;WO;17.73;29.jun.18;2018;DEHNS (GB);ST BRIDE'S HOUSE 10 SALISBURY SQUARE LONDON GREATER LONDON EC4Y 8JD;NO;NO-4;1;4;DEAD;21.38;No;No;None;0.75;25.aug;35.25;Application;63143643
WO2019050411A1;COHERENT NODE CONTROLLER;NO;NUMASCALE AS  ( NO );NUMASCALE AS (NO);NUMASCALE AS (NO);NUMASCALE AS;14.mar.19;04.jun.18;"G06F12/0802; G06F2212/27; G06F12/0833; G06F12/08; G06F2212/621; G06F12/0815; Y02D10/00";G06F12/0831;"US11461234B2 / US2021064530A1
 EP3679477A1
 WO2019050411A1
 NO344681B1 / NO20171434A1";EP, US, WO, NO;WO;21.25;05.sep.17;2017;BRYN AARFLOT AS (NO);PO BOX 449 SENTRUM 0104 OSLO;NO;NO-3;1;3;DEAD;31.mai;No;No;None;nov.15;29.aug;25.mai;Application;62904543
WO2018126218A1;METHOD AND PROCESS TO STABILIZE ASPHALTENES IN PETROLEUM FLUIDS;US;MI LLC  ( US ),SCHLUMBERGER NORGE AS  ( NO );"MI LLC (US); SCHLUMBERGER NORGE AS (NO)";"MI LLC (US); SCHLUMBERGER NORGE AS (NO)";SCHLUMBERGER LTD;05.jul.18;29-Dec-2017;"C08G83/002; C09K8/524";"C09K8/524; C08F220/28; C08G83/00; C08L101/00; C10L3/10";"US10655052B2 / US2018187064A1
 WO2018126218A1";US, WO;WO;17.jul;30-Dec-2016;2016;BURTON CARLYN ANNE ET AL (US);OSHA LIANG LLP 909 FANNIN STREET SUITE 3500 HOUSTON TX 77010;US, NO;"NO-2; US-3; FR-4";2;9;DEAD;30.mai;No;No;None;sep.94;33.22;des.25;Application;62708943
WO2018093270A1;MODULAR STRUCTURES AND METHOD FOR CONSTRUCTION THEREOF;NO;GUDESEN HANS GUDE  ( NO );GUDESEN HANS GUDE (NO);GUDESEN HANS GUDE (NO);GUDESEN HANS GUDE;24-May-2018;13.nov.17;"B63B75/00; E02B17/02; E02B17/00; B65D90/0066; B65D88/78; B65D90/023; E02B3/06; B65D90/046; B63B2035/4426; B63B2007/006; A01K61/60; A63H33/088; E04B2/16; B63B7/06; E04B2002/0202; E04B2/46; B63B35/44; Y02A40/81";"E02B17/00; A01K61/60; A01K61/77; B65D88/78; E02B3/04";"US2019283845A1
 EP3541998A1 / EP3541998A4 / EP3541998B1
 WO2018093270A1
 NO342560B1 / NO20161803A1";WO, NO, US, EP;WO;27.78;15.nov.16;2016;ACAPO AS (NO);STRANDGATEN 198 PO BOX 1880 NORDNES BERGEN;NO;NO-1;1;1;DEAD;34;No;No;None;31.28;34.31;16.aug;Application;62145142
WO2018166655A1;EMERGENCY DRIVE DEVICE FOR LIFE-SAVING EQUIPMENT DAVITS;ES;HERON DAVITS AS  ( NO );HERON DAVITS AS (NO);HERON DAVITS AS (NO);HERON DAVITS AS;20.sep.18;28.mar.18;"F03G5/00; B63B23/02; H02K7/1861; B63B23/10; B63B23/40";"B63B23/02; B63B23/10; B63B23/40; H02K7/18";"EP3601032A1 / EP3601032B1
 WO2018166655A1
 DK3601032T3
 ES2685176A1 / ES2685176B1
 ES2913799T3
 PL3601032T3";EP, WO, ES, DK, PL;WO;17.88;31.mar.17;2017;TORGGLER PAUL N ET AL (AT);TORGGLER & HOFINGER WILHELM GREIL STRASSE 16 6020 INNSBRUCK;NO;NO-1;1;1;DEAD;35;No;No;None;0.75;26.15;26.55;Application;62044642
WO2019180077A1;DISPERSANT AND BINDER FOR LITHIUM ION BATTERIES BASED ON MODIFIED LIGNIN AND CARBOXYMETHYL CELLULOSE;EP;BORREGAARD AS  ( NO );BORREGAARD AS (NO);BORREGAARD AS (NO);BORREGAARD AS;26.sep.19;20.mar.19;"H01M4/622; H01M10/0525; H01M4/133; H01M4/134; H01M2004/027; H01M4/139; H01M4/364; Y02E60/10";"H01M4/62; H01M10/0525";"US2020411873A1
 EP3544099A1
 EP3769360A1
 WO2019180077A1
 CN111868978A";EP, CN, WO, US;WO;17.feb;21.mar.18;2018;TOSTMANN HOLGER (DE);WALLINGER RICKER SCHLOTTER TOSTMANN PATENT  UND RECHTSANWÄLTE PARTNERSCHAFT MBB ZWEIBRÜCKENSTRASSE 5 7 80331 MUNICH;NO;"NO-2; US-1";1;3;DEAD;21.38;No;No;None;02.mar;21.nov;32.75;Application;61749942
WO2018115442A1;HYDRATE INHIBITOR RECOVERY SYSTEM;NO;NOV PROCESS & FLOW TECH AS  ( NO );NOV PROCESS & FLOW TECH AS (NO);NOV PROCESS & FLOW TECH AS (NO);NOV PROCESS & FLOW TECH AS;28.jun.18;22-Dec-2017;"C10L3/106; C07C29/76; B01D2252/2026; C10L2290/543; C10L2290/12; C10L2290/08; C10L2290/541; C07C29/80; B01D53/1425; B01D2252/2023; B01D3/10; C10L3/107; B01D3/06; B01D53/263; B01D2256/24";"B01D3/06; B01D53/14; B01D53/26; C07C29/80; C10L3/10";"WO2018115442A1
 NO342676B1 / NO20162051A1";NO, WO;WO;jul.58;23-Dec-2016;2016;ONSAGERS AS (NO);P O BOX 1813 VIKA N 0123 OSLO;NO;NO-1;1;1;DEAD;0;No;No;None;nov.21;18.97;4;Application;60955043
WO2019096708A1;HISTOLOGICAL IMAGE ANALYSIS;GB;OSLO UNIV  ( NO );OSLO UNIV (NO);OSLO UNIV (NO);OSLO UNIV;23-May-2019;09.nov.18;"G06N3/045; G06T2207/20021; G06T2207/10024; G06T7/0014; G06T2207/30024; G06T2207/20084; G06T2207/20081; G06T2207/10056; G06T7/11; A61B5/0013; G06N3/08; G06T7/0012; G06N3/02";G06T7/00;"US11361442B2 / US2020388036A1
 US11989882B2 / US2022270258A1
 US2024296565A1
 EP3711018A1
 WO2019096708A1
 CN111656393A
 GB2569103A / GB201718970D0
 KR20200100062A";GB, WO, KR, US, CN, EP;WO;28.76;16.nov.17;2017;ELKINGTON & FIFE LLP (GB);PROSPECT HOUSE 8 PEMBROKE ROAD SEVENOAKS KENT TN13 1XR;NO;"NO-4; GB-1";1;5;DEAD;34.5;No;No;None;14.sep;32.25;42.25;Application;60805742
WO2017213511A1;"METHOD AND SYSTEM FOR PUMPING A LIQUID CONTAINING PARTICLES; PREFERABLY FISH IN WATER";NO;MELBU SYSTEM AS  ( NO );MELBU SYSTEM AS (NO);MELBU SYSTEMS AS (NO);MELBU SYSTEM AS;14-Dec-2017;10.jun.16;"F04F1/00; F04F5/10; B65G53/30; A01K79/00; B65G2201/0202";"A01K79/00; B65G53/30; F04F1/00; F04F5/10";"WO2017213511A1
 CA3029442A1 / CA3029442C
 DK180634B1 / DK201801023A1
 GB2565025A / GB2565025B / GB201819370D0
 NO20190005A1";DK, CA, WO, GB, NO;WO;20.74;10.jun.16;2016;ACAPO AS (NO);PO BOX 1880 NORDNES 5817 BERGEN;NO;NO-1;1;1;DEAD;38;No;No;None;16.aug;17.46;16.55;Application;60578042
